1779, 1583310, 32
1780, 1585090, 32
1784, 1592220, 96
1795, 1611910, 16
1799, 1619100, 108
1800, 1620900, 54
1804, 1628110, 48
1815, 1648020, 72
1819, 1655290, 64
1820, 1657110, 64
1824, 1664400, 120
1835, 1684530, 64
1839, 1691880, 64
1840, 1693720, 64
1844, 1701090, 48
1855, 1721440, 96
1859, 1728870, 96
1860, 1730730, 32
1864, 1738180, 24
1875, 1758750, 80
1879, 1766260, 24
1880, 1768140, 144
1884, 1775670, 64
1895, 1796460, 48
1899, 1804050, 72
1900, 1805950, 24
1904, 1813560, 128
1915, 1834570, 16
1919, 1842240, 112
1920, 1844160, 112
1924, 1851850, 96
1935, 1873080, 144
1939, 1880830, 32
1940, 1882770, 32
1944, 1890540, 72
1955, 1911990, 64
1959, 1919820, 72
1960, 1921780, 72
1964, 1929630, 32
1975, 1951300, 72
1979, 1959210, 48
1980, 1961190, 96
1984, 1969120, 48
1995, 1991010, 64
1999, 1999000, 32
2000, 2001000, 128
2004, 2009010, 32
2015, 2031120, 240
2019, 2039190, 32
2020, 2041210, 32
2024, 2049300, 180
2035, 2071630, 32
2039, 2079780, 48
2040, 2081820, 96
2044, 2089990, 32
2055, 2112540, 48
2059, 2120770, 32
2060, 2122830, 48
2064, 2131080, 128
2075, 2153850, 48
1779, 1583310, 32
1780, 1585090, 32
1779, 1583310, 32
1780, 1585090, 32
1784, 1592220, 96
1795, 1611910, 16
1799, 1619100, 108
1800, 1620900, 54
1804, 1628110, 48
1815, 1648020, 72
1819, 1655290, 64
1779, 1583310, 32
1780, 1585090, 32
1779, 1583310, 32
1780, 1585090, 32
1779, 1583310, 32
1780, 1585090, 32
